experimentalBlock.thisRepN,experimentalBlock.thisTrialN,experimentalBlock.thisN,experimentalBlock.thisIndex,thisRow.t,notes,Instruction.started,instImage.started,Instruction.stopped,Instruction2.started,instImage_2.started,Instruction2.stopped,starttask.started,startText.started,moveOn_3.started,starttask.stopped,moveOn_3.keys,moveOn_3.rt,moveOn_3.duration,sequenceGeneration.started,sequenceGeneration.stopped,experimentalTrial.started,myExp.trial,myExp.word,myExp.color,myExp.congruent,myExp.expectedResponse,stroopStim.started,stroopResp.started,stroopStim.stopped,stroopResp.stopped,experimentalTrial.stopped,myExp.observedResponse,myExp.trialDuration,myExp.Accuracy,myExp.step,stroopResp.keys,stroopResp.corr,blank.started,fbCound.started,blankPeriod.started,fbCound.stopped,blank.stopped,myExp.RT_allTrials,myExp.RT_correctTrials,stroopResp.rt,stroopResp.duration,End.started,endImage.started,endText.started,moveOn_4.started,End.stopped,moveOn_4.keys,moveOn_4.rt,moveOn_4.duration,participant,date,expName,psychopyVersion,frameRate,expStart,
51,0,51,0,77.47326509999948,,,,,,,,,,,,,,,,,77.32658309999897,52,blue,blue,1.0,l,77.47326509999948,77.47326509999948,78.57304959999965,78.57304959999965,78.55678989999979,nan,1.0980918999994174,0.0,0.0,None,0,78.55825779999941,0.00032109999847307336,0.00032109999847307336,0.0484664999985398,78.62273929999901,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
52,0,52,0,78.63698789999944,,,,,,,,,,,,,,,,,78.62420389999897,53,red,red,1.0,m,78.63698789999944,78.63698789999944,79.73979979999967,79.73979979999967,79.72431599999982,nan,1.0980918999994174,0.0,0.0,None,0,79.72719189999953,0.0006059000006644055,0.0006059000006644055,0.046525300000212155,79.79311219999909,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
53,0,53,0,79.80379439999888,,,,,,,,,,,,,,,,,79.79425330000049,54,blue,blue,1.0,l,79.80379439999888,79.80379439999888,80.90649069999927,80.90649069999927,80.89105930000005,nan,1.0980918999994174,0.0,0.0,None,0,80.8939150999995,0.0006000000012136297,0.0006000000012136297,0.04617310000139696,80.95285979999971,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
54,0,54,0,80.96815859999879,,,,,,,,,,,,,,,,,80.95451139999932,55,yellow,yellow,1.0,s,80.96815859999879,80.96815859999879,82.0731925,82.0731925,82.05839649999871,nan,1.0980918999994174,0.0,0.0,None,0,82.06218319999971,0.0009620999990147538,0.0009620999990147538,0.044550799999342416,82.1230486000004,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
55,0,55,0,82.1415337999988,,,,,,,,,,,,,,,,,82.12482769999951,56,green,green,1.0,c,82.1415337999988,82.1415337999988,83.24015539999891,83.24015539999891,83.22466270000041,nan,1.0980918999994174,0.0,0.0,None,0,83.22805139999946,0.0008360000010725344,0.0008360000010725344,0.04543310000008205,83.29378910000014,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
56,0,56,0,83.31506959999933,,,,,,,,,,,,,,,,,83.29571179999948,57,red,red,1.0,m,83.31506959999933,83.31506959999933,84.42332129999886,84.42332129999886,84.40817380000044,nan,1.0980918999994174,0.0,0.0,None,0,84.41134779999993,0.0008274000010715099,0.0008274000010715099,0.045443900000464055,84.47309719999976,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
57,0,57,0,84.4944357000004,,,,,,,,,,,,,,,,,84.47474489999877,58,yellow,yellow,1.0,s,84.4944357000004,84.4944357000004,,,85.19278089999898,s,1.0980918999994174,1.0,0.0,s,1,85.19898019999891,0.0009938999992300523,0.0009938999992300523,0.3985378999987006,85.59893720000036,0.6908429000013712,0.6908429000013712,0.6908429000013712,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
58,0,58,0,85.61475939999946,,,,,,,,,,,,,,,,,85.60054320000017,59,green,green,1.0,c,85.61475939999946,85.61475939999946,,,86.17610570000033,c,1.0980918999994174,1.0,0.0,c,1,86.18198909999956,0.000662200000078883,0.000662200000078883,0.5405201000012312,86.72437600000012,0.5501753000007739,0.5501753000007739,0.5501753000007739,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
59,0,59,0,86.74647509999886,,,,,,,,,,,,,,,,,86.7262142999989,60,red,red,1.0,m,86.74647509999886,86.74647509999886,,,87.40971439999885,m,1.0980918999994174,1.0,0.0,m,1,87.41615119999915,0.0010092000011354685,0.0010092000011354685,0.4361263000009785,87.85873050000009,0.6521687999993446,0.6521687999993446,0.6521687999993446,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
60,0,60,0,87.87748939999983,,,,,,,,,,,,,,,,,87.86074550000012,61,blue,blue,1.0,l,87.87748939999983,87.87748939999983,,,88.2922925999992,l,1.0980918999994174,1.0,0.0,l,1,88.29833510000026,0.0008912000012060162,0.0008912000012060162,0.6847102000010636,88.98617459999878,0.4014573999993445,0.4014573999993445,0.4014573999993445,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
61,0,61,0,88.99356169999919,,,,,,,,,,,,,,,,,88.98696380000001,62,green,green,1.0,c,88.99356169999919,88.99356169999919,,,89.47467659999893,c,1.0980918999994174,1.0,0.0,c,1,89.4783742999989,0.0004303999994590413,0.0004303999994590413,0.6104763999992429,90.09447249999903,0.4777622000001429,0.4777622000001429,0.4777622000001429,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
62,0,62,0,90.1114538999991,,,,,,,,,,,,,,,,,90.09762919999957,63,red,red,1.0,m,90.1114538999991,90.1114538999991,,,90.59355739999955,m,1.0980918999994174,1.0,0.0,m,1,90.59899629999927,0.000776400000177091,0.000776400000177091,0.6106959999997343,91.2111060999996,0.47840849999920465,0.47840849999920465,0.47840849999920465,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
63,0,63,0,91.22707629999968,,,,,,,,,,,,,,,,,91.21261289999893,64,yellow,yellow,1.0,s,91.22707629999968,91.22707629999968,,,91.69253670000035,s,1.0980918999994174,1.0,0.0,s,1,91.69763959999909,0.0007487000002583954,0.0007487000002583954,0.6250326000008499,92.32933459999913,0.4630295000006299,0.4630295000006299,0.4630295000006299,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
64,0,64,0,92.34650359999978,,,,,,,,,,,,,,,,,92.33122899999944,65,green,green,1.0,c,92.34650359999978,92.34650359999978,,,92.97526019999896,c,1.0980918999994174,1.0,0.0,c,1,92.97999499999969,0.0006620999993174337,0.0006620999993174337,0.4619896999993216,93.44641849999971,0.6250316999994538,0.6250316999994538,0.6250316999994538,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
65,0,65,0,93.45604569999887,,,,,,,,,,,,,,,,,93.44729819999884,66,blue,blue,1.0,l,93.45604569999887,93.45604569999887,,,93.94031709999945,l,1.0980918999994174,1.0,0.0,l,1,93.94514209999943,0.0005737999999837484,0.0005737999999837484,0.6084066999992501,94.55926939999881,0.47873729999992065,0.47873729999992065,0.47873729999992065,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
66,0,66,0,94.57025690000046,,,,,,,,,,,,,,,,,94.56054620000032,67,red,red,1.0,m,94.57025690000046,94.57025690000046,,,95.04168459999892,m,1.0980918999994174,1.0,0.0,m,1,95.04709410000032,0.0006236000008357223,0.0006236000008357223,0.6311137000011513,95.68374349999976,0.4576721000012185,0.4576721000012185,0.4576721000012185,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
67,0,67,0,95.69796889999998,,,,,,,,,,,,,,,,,95.68517919999977,68,yellow,yellow,1.0,s,95.69796889999998,95.69796889999998,,,96.2090446000002,s,1.0980918999994174,1.0,0.0,s,1,96.21343349999916,0.0004774999997607665,0.0004774999997607665,0.5796246999998402,96.79897220000021,0.5081670999989001,0.5081670999989001,0.5081670999989001,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
68,0,68,0,96.81255939999937,,,,,,,,,,,,,,,,,96.80087149999963,69,red,red,1.0,m,96.81255939999937,96.81255939999937,,,97.37487929999952,m,1.0980918999994174,1.0,0.0,m,1,97.37905419999879,0.0004852999991271645,0.0004852999991271645,0.5357179000002361,97.92056839999896,0.5525985000003857,0.5525985000003857,0.5525985000003857,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
69,0,69,0,97.9327433999988,,,,,,,,,,,,,,,,,97.9222751999987,70,yellow,yellow,1.0,s,97.9327433999988,97.9327433999988,99.03919680000035,99.03919680000035,99.0240730000005,nan,1.0980918999994174,0.0,0.0,None,0,99.02663939999911,0.0006126000007498078,0.0006126000007498078,0.045769599999403,99.09342649999962,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
70,0,70,0,99.10916720000023,,,,,,,,,,,,,,,,,99.09518480000042,71,blue,blue,1.0,l,99.10916720000023,99.10916720000023,100.22246409999934,100.22246409999934,100.20693029999893,nan,1.0980918999994174,0.0,0.0,None,0,100.2103876000001,0.00041369999962626025,0.00041369999962626025,0.04545909999978903,100.27303399999983,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
71,0,71,0,100.28772509999908,,,,,,,,,,,,,,,,,100.27478299999893,72,green,green,1.0,c,100.28772509999908,100.28772509999908,101.38896179999938,101.38896179999938,101.37367999999879,nan,1.0980918999994174,0.0,0.0,None,0,101.37841959999969,0.0006607000013900688,0.0006607000013900688,0.04394430000138527,101.44354720000047,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
72,0,72,0,101.46039550000023,,,,,,,,,,,,,,,,,101.44537149999996,73,yellow,yellow,1.0,s,101.46039550000023,101.46039550000023,102.57188429999951,102.57188429999951,102.55667439999888,nan,1.0980918999994174,0.0,0.0,None,0,102.55898209999941,0.00041570000030333176,0.00041570000030333176,0.04684790000101202,102.62399519999963,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
73,0,73,0,102.64040889999887,,,,,,,,,,,,,,,,,102.62575920000018,74,red,red,1.0,m,102.64040889999887,102.64040889999887,103.73896739999873,103.73896739999873,103.72355219999918,nan,1.0980918999994174,0.0,0.0,None,0,103.7264213999988,0.0005399000001489185,0.0005399000001489185,0.04592489999959071,103.79318719999901,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
74,0,74,0,103.80711909999991,,,,,,,,,,,,,,,,,103.79502659999889,75,blue,blue,1.0,l,103.80711909999991,103.80711909999991,104.90559419999954,104.90559419999954,104.89013700000032,nan,1.0980918999994174,0.0,0.0,None,0,104.89351129999886,0.0004400999987410614,0.0004400999987410614,0.04572519999965152,104.95284600000014,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
75,0,75,0,104.97073569999884,,,,,,,,,,,,,,,,,104.95489319999979,76,yellow,yellow,1.0,s,104.97073569999884,104.97073569999884,106.07205809999869,106.07205809999869,106.05707549999897,nan,1.0980918999994174,0.0,0.0,None,0,106.06049080000048,0.000593299999309238,0.000593299999309238,0.045003799999904004,106.12286119999953,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
76,0,76,0,106.13395209999908,,,,,,,,,,,,,,,,,106.12457549999999,77,red,red,1.0,m,106.13395209999908,106.13395209999908,107.23878049999985,107.23878049999985,107.2233699999997,nan,1.0980918999994174,0.0,0.0,None,0,107.22596229999908,0.0005451000015455065,0.0005451000015455065,0.046070899999904213,107.29290099999889,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
77,0,77,0,107.30818779999936,,,,,,,,,,,,,,,,,107.29480739999963,78,blue,blue,1.0,l,107.30818779999936,107.30818779999936,108.4052374999992,108.4052374999992,108.39025810000021,nan,1.0980918999994174,0.0,0.0,None,0,108.39341049999894,0.0006941999999980908,0.0006941999999980908,0.04560489999857964,108.45232620000024,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
78,0,78,0,108.46293399999922,,,,,,,,,,,,,,,,,108.45411849999982,79,red,red,1.0,m,108.46293399999922,108.46293399999922,109.57169880000038,109.57169880000038,109.5562160999998,nan,1.0980918999994174,0.0,0.0,None,0,109.55909710000014,0.0005886999988433672,0.0005886999988433672,0.04608069999994768,109.62323599999945,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
79,0,79,0,109.63584569999875,,,,,,,,,,,,,,,,,109.62504929999886,80,blue,blue,1.0,l,109.63584569999875,109.63584569999875,110.73845280000023,110.73845280000023,110.7236527999994,nan,1.0980918999994174,0.0,0.0,None,0,110.72667509999883,0.0005438999996840721,0.0005438999996840721,0.04551770000034594,110.7937267999987,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
80,0,80,0,110.80999369999881,,,,,,,,,,,,,,,,,110.79554389999976,81,green,green,1.0,c,110.80999369999881,110.80999369999881,111.9222224999994,111.9222224999994,111.90631969999959,nan,1.0980918999994174,0.0,0.0,None,0,111.90876649999882,0.0005106999997224193,0.0005106999997224193,0.04664279999997234,111.97265080000034,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
81,0,81,0,111.98644979999881,,,,,,,,,,,,,,,,,111.97520409999925,82,yellow,yellow,1.0,s,111.98644979999881,111.98644979999881,113.08827240000028,113.08827240000028,113.07332299999871,nan,1.0980918999994174,0.0,0.0,None,0,113.07658029999948,0.0006529999991471414,0.0006529999991471414,0.04510369999843533,113.1330125000004,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
82,0,82,0,113.14603720000014,,,,,,,,,,,,,,,,,113.13472379999985,83,green,green,1.0,c,113.14603720000014,113.14603720000014,114.25479909999922,114.25479909999922,114.24025309999888,nan,1.0980918999994174,0.0,0.0,None,0,114.24338960000023,0.0005632000011246419,0.0005632000011246419,0.04500630000075034,114.30284419999953,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
83,0,83,0,114.32364640000014,,,,,,,,,,,,,,,,,114.30494650000037,84,yellow,yellow,1.0,s,114.32364640000014,114.32364640000014,115.42127149999942,115.42127149999942,115.40564929999891,nan,1.0980918999994174,0.0,0.0,None,0,115.40786049999952,0.00044159999924886506,0.00044159999924886506,0.04724290000012843,115.47219229999973,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
84,0,84,0,115.47932819999914,,,,,,,,,,,,,,,,,115.47288060000028,85,blue,blue,1.0,l,115.47932819999914,115.47932819999914,116.58816279999883,116.58816279999883,116.57308720000037,nan,1.0980918999994174,0.0,0.0,None,0,116.57602380000026,0.0005985000007058261,0.0005985000007058261,0.0455247000008967,116.6429764000004,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
85,0,85,0,116.657083099999,,,,,,,,,,,,,,,,,116.6447221999988,86,red,red,1.0,m,116.657083099999,116.657083099999,117.75464979999924,117.75464979999924,117.73977029999878,nan,1.0980918999994174,0.0,0.0,None,0,117.7422759000001,0.0005197999998927116,0.0005197999998927116,0.04578919999948994,117.80278879999969,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
86,0,86,0,117.81907259999934,,,,,,,,,,,,,,,,,117.80494120000003,87,blue,blue,1.0,l,117.81907259999934,117.81907259999934,118.92118409999966,118.92118409999966,118.90663589999895,nan,1.0980918999994174,0.0,0.0,None,0,118.9098658999992,0.0007171999986894662,0.0007171999986894662,0.045024999999441206,118.97326239999893,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
87,0,87,0,118.98670309999943,,,,,,,,,,,,,,,,,118.97507199999927,88,green,green,1.0,c,118.98670309999943,118.98670309999943,120.08788370000002,120.08788370000002,120.07295580000027,nan,1.0980918999994174,0.0,0.0,None,0,120.07581570000002,0.0006290000001172302,0.0006290000001172302,0.045833199999833596,120.1430218000005,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
88,0,88,0,120.15434219999952,,,,,,,,,,,,,,,,,120.14429120000023,89,red,red,1.0,m,120.15434219999952,120.15434219999952,121.25506469999891,121.25506469999891,121.23999860000004,nan,1.0980918999994174,0.0,0.0,None,0,121.24316840000029,0.0005752000015490921,0.0005752000015490921,0.04497880000053556,121.30333119999887,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
89,0,89,0,121.31889819999924,,,,,,,,,,,,,,,,,121.30557919999956,90,yellow,yellow,1.0,s,121.31889819999924,121.31889819999924,122.42118239999945,122.42118239999945,122.40595889999895,nan,1.0980918999994174,0.0,0.0,None,0,122.40895040000032,0.00044770000022253953,0.00044770000022253953,0.045647000000826665,122.47262709999995,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
90,0,90,0,122.484548299999,,,,,,,,,,,,,,,,,122.47428599999876,91,red,red,1.0,m,122.484548299999,122.484548299999,123.58780730000035,123.58780730000035,123.57247920000009,nan,1.0980918999994174,0.0,0.0,None,0,123.57472249999955,0.00046939999992900994,0.00046939999992900994,0.04647400000067137,123.64266419999876,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
91,0,91,0,123.65564300000005,,,,,,,,,,,,,,,,,123.64442969999982,92,blue,blue,1.0,l,123.65564300000005,123.65564300000005,124.75436059999993,124.75436059999993,124.73950960000002,nan,1.0980918999994174,0.0,0.0,None,0,124.74269780000031,0.0007459000007656869,0.0007459000007656869,0.04534050000074785,124.8025775999995,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
92,0,92,0,124.81504169999971,,,,,,,,,,,,,,,,,124.80455919999986,93,green,green,1.0,c,124.81504169999971,124.81504169999971,125.92109290000008,125.92109290000008,125.90573149999909,nan,1.0980918999994174,0.0,0.0,None,0,125.90834509999877,0.00048009999954956584,0.00048009999954956584,0.04633729999841307,125.97311780000018,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
93,0,93,0,125.98469149999983,,,,,,,,,,,,,,,,,125.97480819999873,94,blue,blue,1.0,l,125.98469149999983,125.98469149999983,127.08741069999996,127.08741069999996,127.07244209999953,nan,1.0980918999994174,0.0,0.0,None,0,127.07513169999947,0.00044010000056005083,0.00044010000056005083,0.04628779999984545,127.14287609999883,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
94,0,94,0,127.16659309999886,,,,,,,,,,,,,,,,,127.14469869999994,95,yellow,yellow,1.0,s,127.16659309999886,127.16659309999886,128.27055409999957,128.27055409999957,128.25478649999968,nan,1.0980918999994174,0.0,0.0,None,0,128.25641539999924,0.0003463000011834083,0.0003463000011834083,0.04730800000106683,128.3218992000002,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
95,0,95,0,128.32987669999966,,,,,,,,,,,,,,,,,128.32270599999902,96,blue,blue,1.0,l,128.32987669999966,128.32987669999966,129.4378070999992,129.4378070999992,129.42250669999885,nan,1.0980918999994174,0.0,0.0,None,0,129.42578250000042,0.0008586000003560912,0.0008586000003560912,0.04519599999912316,129.48279059999913,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
96,0,96,0,129.49666780000007,,,,,,,,,,,,,,,,,129.48466139999982,97,red,red,1.0,m,129.49666780000007,129.49666780000007,130.6040422999995,130.6040422999995,130.58923270000014,nan,1.0980918999994174,0.0,0.0,None,0,130.59178710000015,0.0006128000004537171,0.0006128000004537171,0.04607890000079351,130.6526030999994,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
97,0,97,0,130.66937139999936,,,,,,,,,,,,,,,,,130.65469610000036,98,yellow,yellow,1.0,s,130.66937139999936,130.66937139999936,131.77096840000013,131.77096840000013,131.75571539999873,nan,1.0980918999994174,0.0,0.0,None,0,131.75895409999976,0.000729900000806083,0.000729900000806083,0.0452874000002339,131.8234111999991,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
98,0,98,0,131.83654529999876,,,,,,,,,,,,,,,,,131.82540580000023,99,green,green,1.0,c,131.83654529999876,131.83654529999876,132.93749190000017,132.93749190000017,132.9221407999994,nan,1.0980918999994174,0.0,0.0,None,0,132.92534390000037,0.0006947999991098186,0.0006947999991098186,0.0454554999996617,132.98296420000042,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
99,0,99,0,132.9988629999989,,,,,,,,,,,,,,,,,132.98435710000012,100,yellow,yellow,1.0,s,132.9988629999989,132.9988629999989,134.10393289999956,134.10393289999956,134.08878469999945,nan,1.0980918999994174,0.0,0.0,None,0,134.09188929999982,0.0008056000006035902,0.0008056000006035902,0.045271900000443566,134.1527016,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
100,0,100,0,134.16620799999873,,,,,,,,,,,,,,,,,134.1546569000002,101,red,red,1.0,m,134.16620799999873,134.16620799999873,135.27046289999998,135.27046289999998,135.2556242999999,nan,1.0980918999994174,0.0,0.0,None,0,135.2596083999997,0.0007771000000502681,0.0007771000000502681,0.04453550000107498,135.32334929999888,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
101,0,101,0,135.3409948999997,,,,,,,,,,,,,,,,,135.3252451999997,102,yellow,yellow,1.0,s,135.3409948999997,135.3409948999997,136.45384579999882,136.45384579999882,136.43883110000024,nan,1.0980918999994174,0.0,0.0,None,0,136.44205499999953,0.0006940000002941815,0.0006940000002941815,0.045211900000140304,136.5030186999993,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
102,0,102,0,136.51663609999923,,,,,,,,,,,,,,,,,136.50501210000039,103,red,red,1.0,m,136.51663609999923,136.51663609999923,137.6200233999989,137.6200233999989,137.60480909999933,nan,1.0980918999994174,0.0,0.0,None,0,137.6081420999999,0.0006173000001581386,0.0006173000001581386,0.04556629999933648,137.67247010000028,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
103,0,103,0,137.68270479999956,,,,,,,,,,,,,,,,,137.67343749999964,104,green,green,1.0,c,137.68270479999956,137.68270479999956,138.78688839999995,138.78688839999995,138.7723294999996,nan,1.0980918999994174,0.0,0.0,None,0,138.77631479999945,0.00061690000075032,0.00061690000075032,0.04437289999987115,138.8327892999987,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
104,0,104,0,138.84783140000036,,,,,,,,,,,,,,,,,138.83579759999884,105,blue,blue,1.0,l,138.84783140000036,138.84783140000036,139.95366619999913,139.95366619999913,139.93818889999966,nan,1.0980918999994174,0.0,0.0,None,0,139.9412616999998,0.0006905999998707557,0.0006905999998707557,0.04574699999830045,140.00282089999928,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
105,0,105,0,140.01791570000023,,,,,,,,,,,,,,,,,140.00458439999966,106,red,red,1.0,m,140.01791570000023,140.01791570000023,141.12011869999878,141.12011869999878,141.10479159999886,nan,1.0980918999994174,0.0,0.0,None,0,141.1069668,0.000532900001417147,0.000532900001417147,0.04615180000109831,141.17307210000035,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
106,0,106,0,141.18497380000008,,,,,,,,,,,,,,,,,141.174837999999,107,green,green,1.0,c,141.18497380000008,141.18497380000008,,,141.75525299999936,c,1.0980918999994174,1.0,0.0,c,1,141.75802440000007,0.00045280000085767824,0.00045280000085767824,0.5230370000008406,142.2858268,0.5659964000005857,0.5659964000005857,0.5659964000005857,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
